,film_id,title,original_language,genre_ids,release_date,popularity,vote_average,vote_count
1884,22794,Cloudy with a Chance of Meatballs,en,"[16, 35, 10751]",2009-09-17,35.483,6.6,5461
1885,556694,Three Thousand Years of Longing,en,"[18, 12, 14, 10749]",2022-08-24,35.47,6.9,956
1886,943930,Tin & Tina,es,"[27, 53, 9648]",2023-03-24,35.456,6.0,299
1887,277,Underworld,en,"[14, 28, 53]",2003-09-19,35.436,6.8,5695
1888,13027,Eagle Eye,en,"[9648, 53, 28]",2008-09-25,35.432,6.4,2627
1889,912974,Accused,en,"[18, 53]",2023-10-05,35.419,0.0,0
1890,619,The Bodyguard,en,"[53, 28, 18, 10402, 10749]",1992-11-25,35.413,6.7,2675
1891,10200,The Day the Earth Stood Still,en,"[18, 878, 53]",2008-12-10,35.411,5.6,3132
1892,10501,The Road to El Dorado,en,"[10751, 12, 16, 35, 14]",2000-03-31,35.385,7.2,3477
1893,16366,Joseph: King of Dreams,en,"[10751, 16]",2000-11-07,35.344,6.8,914
1894,1072492,The Djinn's Curse,th,[27],2023-09-28,35.337,0.0,0
1895,965244,Ghost in the Shell: SAC_2045 Sustainable War,ja,"[16, 28, 878]",2021-12-21,35.335,7.3,31
1896,759175,The Princess,en,"[28, 14]",2022-06-16,35.333,6.9,708
1897,617505,Hubie Halloween,en,"[35, 9648, 27]",2020-10-07,35.33,6.0,1454
1898,8469,Animal House,en,[35],1978-07-27,35.319,7.0,1385
1899,804095,The Fabelmans,en,[18],2022-11-11,35.314,7.7,1743
1900,43949,Flipped,en,"[10749, 18]",2010-08-06,35.31,8.0,2650
1901,937249,57 Seconds,en,"[53, 878]",2023-09-29,35.307,6.3,4
1902,28209,Emmanuelle: The Joys of a Woman,fr,"[18, 10749]",1975-12-15,35.302,5.4,107
1903,207,Dead Poets Society,en,[18],1989-06-02,35.283,8.3,10308
1904,10196,The Last Airbender,en,"[28, 12, 14]",2010-06-30,35.27,4.7,3675
1905,9482,Judge Dredd,en,[878],1995-06-30,35.27,5.8,2183
1906,2907,The Addams Family,en,"[35, 14]",1991-11-22,35.27,7.0,4141
1907,447200,Skyscraper,en,"[28, 53]",2018-07-11,35.256,6.3,4623
1908,632357,The Unholy,en,"[27, 9648]",2021-03-31,35.252,6.7,1981
1909,9361,The Last of the Mohicans,en,"[28, 12, 18, 36, 10749, 10752]",1992-08-26,35.226,7.4,2771
1910,69735,Batman: Year One,en,"[28, 16, 80]",2011-09-27,35.217,7.3,863
1911,302699,Central Intelligence,en,"[28, 35, 80, 9648]",2016-06-16,35.213,6.4,5471
1912,9437,Kiss the Girls,en,"[53, 80, 9648, 18]",1997-09-29,35.212,6.5,1363
1913,399035,The Commuter,en,"[28, 53, 9648]",2018-01-11,35.205,6.4,4119
1914,567609,Ready or Not,en,"[35, 27, 53]",2019-08-21,35.203,7.1,3904
1915,431562,LEGO Frozen Northern Lights,en,"[16, 10751]",2017-01-05,35.199,6.6,80
1916,347183,Haikyuu!! The Movie: The End and the Beginning,ja,"[16, 35, 18]",2015-07-03,35.179,8.5,30
1917,383045,Toxic Desire: Addiction,ko,"[9648, 53]",2014-09-25,35.176,7.0,3
1918,581,Dances with Wolves,en,"[12, 18, 37]",1990-03-30,35.172,7.8,3830
1919,10019,Mannequin,en,"[35, 10749, 14]",1987-02-13,35.112,6.8,631
1920,63455,Flower & Snake 3,ja,"[18, 10749, 53]",2010-08-28,35.111,6.1,20
1921,646,Dr. No,en,"[12, 28, 53]",1962-10-07,35.111,7.0,3269
1922,698327,Young Aunt 2,ko,[10749],2019-08-22,35.104,5.0,3
1923,87421,Riddick,en,"[878, 28, 53]",2013-09-02,35.081,6.3,3788
1924,146451,Private Number 91-Karlsson,sv,[35],1946-09-02,35.074,4.5,2
1925,10314,She's All That,en,"[35, 10749]",1999-01-29,35.068,6.3,1920
1926,2034,Training Day,en,"[28, 80, 18]",2001-10-05,35.058,7.5,5359
1927,72784,The Loft,en,[53],2014-10-14,35.054,6.4,1353
1928,298191,Liao Zhai - Home for the Intimate Ghosts,zh,[14],1991-01-01,35.052,7.1,6
1929,11238,Aladdin and the King of Thieves,en,"[12, 16, 10751]",1996-05-20,35.049,6.3,1722
1930,736769,They Cloned Tyrone,en,"[35, 878, 9648]",2023-06-14,35.048,6.8,351
1931,11565,Big Momma's House 2,en,"[35, 80]",2006-01-26,35.047,5.7,1467
1932,222935,The Fault in Our Stars,en,"[10749, 18]",2014-05-16,35.035,7.6,10654
1933,625568,Unhinged,en,"[28, 53]",2020-07-16,35.03,6.5,2008
1934,10402,Deuce Bigalow: Male Gigolo,en,[35],1999-12-10,34.988,5.9,1274
1935,9273,Ace Ventura: When Nature Calls,en,"[80, 35, 12]",1995-11-10,34.98,6.3,3780
1936,296099,Vacation,en,[35],2015-07-28,34.96,6.3,3472
1937,10676,Halloween III: Season of the Witch,en,"[27, 9648, 878]",1982-10-22,34.959,5.2,1227
1938,364689,Ferdinand,en,"[16, 10751, 12, 35]",2017-12-09,34.951,7.2,2652
1939,571977,Simón,en,[18],2018-10-11,34.931,0.0,0
1940,738652,Copshop,en,"[53, 80, 28]",2021-09-09,34.913,6.2,634
1941,188813,The Untold Story 2,cn,[53],1998-04-25,34.899,5.1,16
1942,4982,American Gangster,en,"[18, 80]",2007-11-02,34.885,7.6,4931
1943,241554,Run All Night,en,"[28, 80, 53]",2015-03-11,34.884,6.4,2632
